,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
GBP1,0.455037306372431,1.00897856320303,-0.050416782380501,0.297211828230354,1.63596385140942,0.998341260056186,0.109350682685143,0.714431444002015,0.81763617932325,0.883427331240307,1.99087980315471,1.65488908232871,1.56855197946325,2.3118475815381,4.90752924479645,2.05709741112228,0.3961821151156
IL32,-1.93896269362757,-1.45802143679697,-1.7864167823805,-1.86378817176965,-2.10903614859058,0.833341260056186,-1.10964931731486,-1.30056855599798,-2.62536382067675,-1.82957266875969,-1.80112019684529,-1.09111091767129,-2.19444802053675,-1.1831524184619,-1.28847075520355,-2.09990258887772,-2.3608178848844
LY96,-0.97596269362757,-0.842021436796968,-0.8104167823805,0.210211828230354,0.406963851409422,-0.540658739943814,0.594350682685143,-0.0255685559979849,-0.42936382067675,0.105427331240307,-0.247120196845291,1.03188908232871,1.98955197946325,1.0928475815381,0.921529244796447,1.02209741112228,-0.0308178848844001
AA181288,-1.06596269362757,-0.558021436796968,-1.3584167823805,-0.313788171769646,-0.330036148590578,-0.757658739943814,-1.51764931731486,-0.414568555997985,-0.73436382067675,-0.958572668759693,-0.76612019684529,-0.380110917671285,-1.07744802053675,0.010847581538097,-0.551470755203553,-0.285902588877718,-1.2098178848844
IGF2BP3,-2.56696269362757,-2.46302143679697,-2.5594167823805,-0.757788171769646,-1.63403614859058,-1.61365873994381,-2.25064931731486,-0.913568555997985,-1.64436382067675,-1.43557266875969,-2.48312019684529,-2.04011091767129,-1.02344802053675,-1.4091524184619,-1.25247075520355,-1.22290258887772,-2.6978178848844
CALM1,3.28603730637243,2.56397856320303,3.3635832176195,1.96421182823035,3.51396385140942,2.67834126005619,2.20535068268514,2.29243144400202,2.83963617932325,2.02542733124031,2.35887980315471,-0.145110917671285,1.79255197946325,1.1788475815381,1.45052924479645,2.10509741112228,3.7601821151156
CASP1,-1.12496269362757,-0.192021436796968,-0.724416782380501,-1.12812150510298,0.46163051807609,-0.131992073277147,0.213684016018476,0.264098110668682,-0.63336382067675,0.911093997906974,-0.123786863511958,1.34688908232871,0.230551979463249,0.811847581538097,-0.220804088536886,0.544764077788949,-0.94048455155107
PDLIM7,-0.98996269362757,-0.688021436796968,-1.6104167823805,-0.966888171769646,-1.71303614859058,-1.72065873994381,-0.848649317314857,-0.747568555997985,-1.58736382067675,-1.99957266875969,-0.89012019684529,0.387889082328715,-0.206448020536751,-1.0381524184619,-0.401470755203553,-1.76790258887772,-1.5388178848844
DEF6,0.272037306372431,1.48397856320303,0.9815832176195,1.45221182823035,0.211963851409423,0.241341260056186,1.50035068268514,0.117431444002015,-0.11236382067675,0.125427331240307,-0.568120196845291,0.163889082328715,-1.22944802053675,-0.438152418461903,-0.796470755203553,0.857097411122282,1.5341821151156
W93688,1.26403730637243,0.533978563203032,1.3085832176195,1.22921182823035,1.51496385140942,0.804341260056186,1.39935068268514,-0.0555685559979848,0.74963617932325,0.850427331240307,0.91287980315471,-1.15911091767129,0.85855197946325,-0.823152418461903,0.236529244796447,0.667097411122282,0.3621821151156
USP3,-1.55296269362757,-0.763021436796968,-0.701416782380501,-1.65278817176965,-1.18303614859058,-1.52465873994381,-0.536649317314857,-1.55956855599798,-1.30336382067675,-0.980572668759693,-1.48312019684529,-1.43811091767129,-1.69044802053675,-1.6521524184619,-1.54147075520355,-1.94290258887772,-0.1138178848844
X38595,2.07003730637243,0.0859785632030316,1.5765832176195,-0.274788171769646,0.382963851409423,0.986341260056186,1.14935068268514,0.979431444002015,1.26663617932325,-0.217572668759693,1.65487980315471,-0.974110917671285,-1.80244802053675,-1.1691524184619,-0.734470755203553,-0.768902588877718,1.8551821151156
TSPAN6,0.31103730637243,0.339978563203032,0.619583217619499,0.568211828230354,0.974963851409423,0.526341260056186,0.874350682685143,-0.556568555997985,0.24263617932325,-0.128572668759693,-0.446120196845291,-0.818110917671285,-0.98044802053675,-0.711152418461903,-0.806470755203553,-0.518902588877718,0.9081821151156
CDKN1A,0.86603730637243,0.420478563203032,0.9085832176195,0.0457118282303539,-0.314036148590577,-0.927658739943814,-0.791149317314857,1.78293144400202,0.44913617932325,-0.266072668759693,0.324379803154709,1.15238908232871,0.99855197946325,-0.407152418461903,0.586029244796447,1.50059741112228,-0.8258178848844
PHLDA1,1.19537063970576,1.4826452298697,1.4265832176195,1.70954516156368,0.27863051807609,-0.198658739943814,0.931350682685143,0.390098110668682,0.0509695126565832,0.0937606645736397,-0.83912019684529,-0.0541109176712854,-1.14878135387008,-0.787485751795236,-1.59680408853688,1.10376407778895,2.41784878178227
GOT1,0.38603730637243,-0.383021436796968,0.252583217619499,-1.62678817176965,1.13696385140942,0.559341260056186,1.52535068268514,-1.27356855599798,-0.15136382067675,-0.744572668759693,0.407879803154709,-1.78711091767129,-1.00844802053675,-0.312152418461903,-1.02447075520355,0.458097411122282,0.7191821151156
EFHB,-2.31296269362757,-0.929021436796968,-1.8864167823805,-2.44278817176965,0.332963851409423,-0.122658739943814,-0.880649317314857,-0.630568555997985,-1.43736382067675,-1.64757266875969,0.435879803154709,0.406889082328715,0.112551979463249,-0.826152418461903,-0.947470755203553,0.0650974111222824,-2.3508178848844
GYPC,-2.68096269362757,-1.82602143679697,-1.9194167823805,-2.77478817176965,-0.872036148590578,-1.44665873994381,-1.38564931731486,-1.38656855599798,-1.80736382067675,-1.61957266875969,-1.30012019684529,-1.59311091767129,-1.15744802053675,-0.882152418461903,-0.124470755203553,-0.460902588877718,-3.1488178848844
MYC,-1.05846269362757,-0.639271436796968,-0.9574167823805,0.065461828230354,-2.92528614859058,-1.39565873994381,-0.618149317314857,-2.71181855599799,-2.42811382067675,-0.470822668759693,-3.14487019684529,-2.40736091767129,-2.76694802053675,-3.1546524184619,-1.85797075520355,-2.23290258887772,0.4616821151156
CDC20B,-2.02796269362757,-1.83702143679697,-2.8284167823805,-2.04678817176965,-2.47603614859058,-2.32165873994381,-2.68164931731486,-2.36856855599798,-2.27036382067675,-3.10757266875969,-2.16012019684529,-1.68911091767129,-2.61844802053675,-1.2441524184619,-1.42647075520355,-1.92890258887772,-3.7328178848844
TNFAIP3,-1.68246269362757,-0.909521436796969,-0.863916782380501,-0.900788171769646,-0.793036148590578,-1.10715873994381,-1.33564931731486,-0.923568555997985,-1.88886382067675,-0.800072668759693,-0.97412019684529,1.51338908232871,1.42605197946325,0.011347581538097,-0.00697075520355261,0.0755974111222824,-1.4078178848844
POSTN,-0.106962693627569,0.147978563203032,-0.296416782380501,0.084211828230354,-0.387036148590577,-0.511658739943814,-0.774649317314857,-0.474568555997985,-0.41836382067675,-0.920572668759693,-0.349120196845291,1.51188908232871,-1.38744802053675,-0.773152418461903,0.984529244796447,3.64809741112228,2.0301821151156
PLOD2,-2.11146269362757,-1.71452143679697,-1.5154167823805,-0.661288171769646,-0.651036148590577,-1.44815873994381,-1.79214931731486,-1.19456855599798,-2.42836382067675,-1.22757266875969,-1.71462019684529,0.334889082328715,-0.319448020536751,-0.137652418461903,-1.40697075520355,-2.23090258887772,-4.7788178848844
CDKN2D,0.62403730637243,-0.166021436796968,0.316583217619499,0.633211828230354,-0.228036148590578,0.223341260056186,-0.343649317314857,-0.361568555997985,0.56063617932325,0.00642733124030672,0.243879803154709,-1.30211091767129,-0.437448020536751,-1.3041524184619,-0.498470755203553,-1.31290258887772,0.2991821151156
AA669383,-2.38396269362757,-0.778021436796968,-1.9944167823805,-2.64478817176965,0.203963851409423,-0.177658739943814,-0.485649317314857,-0.683568555997985,-1.63036382067675,-1.56557266875969,0.481879803154709,0.360889082328715,0.167551979463249,-1.0551524184619,-0.936470755203553,0.0040974111222824,-2.2948178848844
